City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,18.78000000000003,80,23,6.56,ZA,1711994422
1,kaspiyskiy,45.3929,47.3707,9.700000000000044,66,13,4.31,RU,1711994422
2,utrik,11.2278,169.8474,27.150000000000038,69,100,8.51,MH,1711994422
3,stanley,54.868,-1.6985,7.060000000000002,96,75,2.57,GB,1711994380
4,bethel,41.3712,-73.414,11.680000000000009,57,100,1.39,US,1711994423
5,westport,41.1415,-73.3579,12.77000000000004,51,100,4.63,US,1711994194
6,albany,42.6001,-73.9662,12.730000000000018,52,100,0.45,US,1711994269
7,adamstown,-25.066,-130.1015,21.370000000000005,89,100,20.24,PN,1711994423
8,margaret river,-33.95,115.0667,12.0,81,0,5.98,AU,1711994424
9,grytviken,-54.2811,-36.5092,3.3100000000000023,76,77,7.82,GS,1711994424
10,qaqortoq,60.7167,-46.0333,-0.9899999999999524,64,21,0.82,GL,1711994425
11,ushuaia,-54.8,-68.3,10.810000000000002,54,75,5.66,AR,1711994347
12,sinabang,2.4803,96.3801,27.27000000000004,81,100,0.88,ID,1711994425
13,borogontsy,62.6683,131.1683,-22.00999999999999,100,93,0.97,RU,1711994426
14,vilyuchinsk,52.9306,158.4028,0.1500000000000341,82,32,3.8,RU,1711994426
15,lebu,-37.6167,-73.65,15.010000000000048,60,97,4.8,CL,1711994426
16,college,64.8569,-147.8028,0.0900000000000318,78,0,0.0,US,1711994402
17,hirara,24.8,125.2833,23.150000000000038,94,75,4.12,JP,1711994427
18,waitangi,-43.9535,-176.5597,12.680000000000009,90,100,0.45,NZ,1711994427
19,umm kaddadah,13.6017,26.6876,27.370000000000005,9,15,5.21,SD,1711994427
20,blackmans bay,-43.0167,147.3167,14.850000000000025,94,100,2.36,AU,1711994428
21,kargat,55.1956,80.2811,1.2700000000000389,93,100,6.12,RU,1711994428
22,kenora,49.8167,-94.4337,0.5400000000000205,51,75,3.09,CA,1711994357
23,st. john's,47.5649,-52.7093,3.490000000000009,88,100,3.09,CA,1711994208
24,yellowknife,62.456,-114.3525,-4.769999999999982,79,40,7.2,CA,1711994271
25,ardakan,32.31,54.0175,17.939999999999998,22,2,3.62,IR,1711994429
26,port-aux-francais,-49.35,70.2167,6.890000000000043,80,82,5.82,TF,1711994429
27,bamboo flat,11.7,92.7167,25.05000000000001,83,1,1.03,IN,1711994429
28,olonkinbyen,70.9221,-8.7187,-5.879999999999996,57,100,7.55,SJ,1711994429
29,udumalaippettai,10.5833,77.25,26.05000000000001,66,17,2.49,IN,1711994429
30,invercargill,-46.4,168.35,8.900000000000034,94,67,2.24,NZ,1711994174
31,nizhneangarsk,55.7833,109.55,-8.329999999999984,95,100,0.89,RU,1711994430
32,kidal,18.4411,1.4078,38.26000000000005,11,43,2.05,ML,1711994430
33,santa ana,33.7456,-117.8678,19.32000000000005,59,20,2.68,US,1711994190
34,punta arenas,-53.15,-70.9167,11.010000000000048,57,75,12.86,CL,1711994239
35,anadyr,64.75,177.4833,-26.71999999999997,69,0,5.0,RU,1711994334
36,zeribet el oued,34.6828,6.5111,25.260000000000048,22,24,9.2,DZ,1711994431
37,jamestown,42.097,-79.2353,12.79000000000002,72,100,2.57,US,1711994323
38,tazovsky,67.4667,78.7,-9.22999999999996,94,100,6.81,RU,1711994431
39,chillicothe,39.3331,-82.9824,17.170000000000016,67,100,0.0,US,1711994432
40,ribeira grande,38.5167,-28.7,17.220000000000027,82,40,11.32,PT,1711994432
41,carnarvon,-24.8667,113.6333,26.110000000000014,69,31,6.75,AU,1711994408
42,holualoa,19.6228,-155.9522,21.54000000000002,83,40,3.09,US,1711994369
43,dudinka,69.4058,86.1778,-15.17999999999995,90,100,6.26,RU,1711994432
44,i-n-salah,27.1935,2.4607,30.730000000000015,8,3,3.18,DZ,1711994433
45,puerto ayora,-0.7393,-90.3518,28.980000000000015,87,35,4.47,EC,1711994433
46,neiafu,-18.65,-173.9833,27.379999999999995,89,20,3.09,TO,1711994433
47,akureyri,65.6835,-18.0878,-5.039999999999964,74,75,3.6,IS,1711994433
48,santa catarina,-27.0,-50.0,24.920000000000016,65,66,1.43,BR,1711994433
49,isafjordur,66.0755,-23.124,-3.979999999999961,74,75,7.2,IS,1711994434
50,urangan,-25.3,152.9,20.670000000000016,96,2,3.13,AU,1711994434
51,brisas de zicatela,15.8369,-97.0419,29.94,58,0,4.38,MX,1711994434
52,port hedland,-20.3167,118.5667,28.03000000000003,61,40,4.63,AU,1711994286
53,puerto natales,-51.7236,-72.4875,12.25,50,75,10.29,CL,1711994435
54,ponta delgada,37.7333,-25.6667,18.44,82,40,9.26,PT,1711994435
55,vila velha,-20.3297,-40.2925,28.870000000000005,77,20,6.17,BR,1711994347
56,nova sintra,14.8667,-24.7167,19.53000000000003,78,2,7.66,CV,1711994435
57,prince rupert,54.3161,-130.3201,5.830000000000041,93,100,11.32,CA,1711994417
58,polyarnyy,69.1989,33.4478,-8.659999999999968,69,96,5.69,RU,1711994436
59,mbanza-ngungu,-5.25,14.8667,21.49000000000001,92,94,0.16,CD,1711994436
60,oranjemund,-28.55,16.4333,15.910000000000023,82,8,8.37,,1711994436
61,tual,-5.6667,132.75,28.840000000000032,77,96,3.07,ID,1711994436
62,alexandria,31.2156,29.9553,20.30000000000001,66,0,5.09,EG,1711994259
63,harstad,68.799,16.5293,-4.339999999999975,76,85,12.96,NO,1711994437
64,tura,25.5198,90.2201,23.390000000000043,23,0,2.51,IN,1711994437
65,newman,37.3138,-121.0208,16.27000000000004,77,24,1.34,US,1711994157
66,sitka,57.0531,-135.33,3.5600000000000023,77,100,2.8,US,1711994438
67,selfoss,63.9331,-20.9971,-4.189999999999998,43,0,12.93,IS,1711994438
68,bikenibeu village,1.3673,173.1241,26.980000000000015,94,75,1.03,KI,1711994438
69,badger,64.8,-147.5333,0.0400000000000204,81,0,0.0,US,1711994245
70,vadso,70.0744,29.7487,-7.509999999999991,73,36,9.77,NO,1711994438
71,muisne,0.6,-80.0333,26.420000000000016,85,99,2.27,EC,1711994438
72,umarkot,25.3616,69.7362,28.350000000000023,21,79,5.27,PK,1711994439
73,hotan,37.0997,79.9269,12.610000000000014,14,100,3.06,CN,1711994439
74,edinburgh of the seven seas,-37.0676,-12.3116,18.24000000000001,87,38,8.46,SH,1711994439
75,cidreira,-30.1811,-50.2056,25.610000000000014,72,41,5.15,BR,1711994440
76,trairi,-3.2778,-39.2689,28.410000000000025,76,92,2.55,BR,1711994396
77,tamanrasset,22.785,5.5228,28.950000000000045,13,0,8.23,DZ,1711994440
78,mweka,-4.85,21.5667,21.55000000000001,90,100,0.47,CD,1711994440
79,codrington,-38.2667,141.9667,11.939999999999998,96,96,3.9,AU,1711994440
80,colonia,50.9333,6.95,13.360000000000014,72,20,3.6,DE,1711994237
81,hamilton,39.1834,-84.5333,18.910000000000025,92,100,1.71,US,1711994441
82,uturoa,-16.7333,-151.4333,28.28000000000003,76,96,9.15,PF,1711994441
83,atafu village,-8.5421,-172.5159,29.30000000000001,74,29,6.38,TK,1711994441
84,laojunmiao,39.8333,97.7333,3.550000000000012,61,100,2.61,CN,1711994441
85,tchollire,8.4022,14.1698,33.08000000000004,13,94,0.91,CM,1711994442
86,suva,-18.1416,178.4415,23.71000000000004,100,20,1.03,FJ,1711994357
87,kegen,43.0197,79.2203,-5.859999999999957,76,51,2.47,KZ,1711994442
88,san andres,12.5847,-81.7006,31.010000000000048,58,20,5.66,CO,1711994442
89,brazzaville,-4.2658,15.2832,29.200000000000045,70,20,0.51,CG,1711994410
90,upper hutt,-41.1383,175.0502,14.29000000000002,93,59,0.56,NZ,1711994443
91,kodiak,57.79,-152.4072,-1.2699999999999818,69,0,5.66,US,1711994315
92,abepura,-2.6333,140.5833,23.450000000000045,100,40,0.51,ID,1711994443
93,christchurch,-43.5333,172.6333,11.970000000000027,84,100,1.03,NZ,1711994359
94,wailua homesteads,22.0669,-159.378,22.24000000000001,81,39,3.13,US,1711994444
95,ogaminana,7.5946,6.2248,30.730000000000015,58,97,3.03,NG,1711994444
96,yaren,-0.5472,166.916,27.680000000000007,82,93,4.94,NR,1711994444
97,la reforma,25.0833,-108.05,22.21000000000004,59,100,1.0,MX,1711994444
98,kavieng,-2.5744,150.7967,27.390000000000043,80,98,3.27,PG,1711994444
99,thompson,55.7435,-97.8558,-0.9099999999999682,47,40,4.12,CA,1711994445
100,papatowai,-46.5619,169.4708,9.02000000000004,90,86,2.6,NZ,1711994445
101,coronel suarez,-37.4547,-61.9334,21.680000000000007,19,0,0.73,AR,1711994428
102,narsipatnam,17.6667,82.6167,27.600000000000023,60,29,2.0,IN,1711994445
103,longyearbyen,78.2186,15.6401,-16.089999999999975,72,0,1.54,SJ,1711994445
104,hampton bays,40.869,-72.5176,12.08000000000004,81,100,5.81,US,1711994172
105,santa isabel,-23.3156,-46.2214,29.610000000000014,42,94,0.85,BR,1711994446
106,orapa,-21.2833,25.3667,20.71000000000004,71,100,2.86,BW,1711994446
107,jinchang,38.4953,102.1739,8.230000000000018,59,100,3.75,CN,1711994446
108,mirny,62.5353,113.9611,-8.879999999999995,98,97,0.36,RU,1711994447
109,jinghong,21.991,100.7341,23.090000000000032,41,2,1.57,CN,1711994447
110,praya,14.9215,-23.5087,25.30000000000001,57,20,9.26,CV,1711994447
111,bredasdorp,-34.5322,20.0403,17.180000000000007,72,0,7.77,ZA,1711994447
112,iqaluit,63.7506,-68.5145,0.8500000000000227,86,75,10.29,CA,1711994447
113,phalodi,27.1333,72.3667,26.83000000000004,15,96,2.73,IN,1711994448
114,kununurra,-15.7667,128.7333,25.99000000000001,94,75,1.54,AU,1711994448
115,remire-montjoly,4.9167,-52.2667,31.02000000000004,66,75,5.66,GF,1711994448
116,puerto baquerizo moreno,-0.9,-89.6,30.55000000000001,70,20,1.03,EC,1711994430
117,micheweni,-4.9667,39.8333,27.79000000000002,79,99,4.09,TZ,1711994449
118,ust-nera,64.5667,143.2,-21.18999999999997,92,62,0.36,RU,1711994449
119,upata,8.0086,-62.3989,31.96000000000004,45,98,1.64,VE,1711994298
120,avarua,-21.2078,-159.775,27.03000000000003,78,20,2.57,CK,1711994449
121,yenangyaung,20.4667,94.8833,28.350000000000023,58,0,2.65,MM,1711994449
122,ungsang-nodongjagu,42.3578,130.4622,1.9800000000000184,49,89,2.36,KP,1711994450
123,port mathurin,-19.6833,63.4167,26.450000000000045,84,100,6.48,MU,1711994450
124,georgetown,5.4112,100.3354,28.96000000000004,83,20,0.51,MY,1711994450
125,talnakh,69.4865,88.3972,-18.00999999999999,93,98,4.63,RU,1711994450
126,tiksi,71.6872,128.8694,-10.149999999999975,90,100,2.68,RU,1711994451
127,markala,13.7021,-6.0659,41.78000000000003,7,32,3.77,ML,1711994451
128,kayenta,36.7278,-110.2546,6.760000000000048,46,95,3.38,US,1711994451
129,ghat,24.9647,10.1728,31.390000000000043,5,1,4.01,LY,1711994451
130,petrov val,50.1434,45.2096,12.920000000000016,59,93,3.46,RU,1711994451
131,la'ie,21.6477,-157.9253,23.980000000000015,83,93,2.68,US,1711994452
132,kirkwall,58.9848,-2.9587,8.03000000000003,76,75,7.72,GB,1711994452
133,severobaykal'sk,55.65,109.3167,-8.049999999999955,91,92,2.16,RU,1711994452
134,nagqu,31.5,92.0,-0.6699999999999591,18,76,1.8,CN,1711994452
135,rabigh,22.7986,39.0349,27.31,61,21,2.06,SA,1711994453
136,caleta de carquin,-11.0925,-77.6267,23.75,79,99,3.28,PE,1711994453
137,coquimbo,-29.9533,-71.3436,19.850000000000023,72,0,4.63,CL,1711994082
138,susuman,62.7833,148.1667,-23.109999999999985,99,87,1.18,RU,1711994453
139,mccook,40.2019,-100.6257,6.25,84,100,7.13,US,1711994453
140,mossel bay,-34.1831,22.146,17.960000000000036,75,39,2.52,ZA,1711994453
141,west island,-12.1568,96.8225,27.99000000000001,83,75,4.63,CC,1711994454
142,lihue,21.9789,-159.3672,22.58000000000004,81,38,5.51,US,1711994436
143,kayyerkan,69.3786,87.7439,-17.019999999999982,89,98,3.62,RU,1711994454
144,tughyl,47.7252,84.2063,1.0300000000000296,78,52,2.95,KZ,1711994454
145,mejit,10.2753,170.8646,26.629999999999995,78,100,9.31,MH,1711994454
146,saint-philippe,-21.3585,55.7679,24.77000000000004,93,100,5.87,RE,1711994455
147,stephenville,32.2207,-98.2023,24.96000000000004,76,0,4.12,US,1711994455
148,kuala terengganu,5.3302,103.1408,27.970000000000027,89,20,1.54,MY,1711994455
149,portland,45.5234,-122.6762,15.740000000000007,67,40,2.06,US,1711994332
150,chiredzi,-21.05,31.6667,22.53000000000003,50,57,3.19,ZW,1711994455
151,chonchi,-42.6128,-73.8092,16.180000000000007,52,39,1.25,CL,1711994456
152,malango,-2.9627,119.9001,20.920000000000016,99,100,0.83,ID,1711994456
153,annaberg-buchholz,50.5795,13.0063,8.990000000000009,87,100,6.71,DE,1711994456
154,usogorsk,63.4106,48.6872,0.3700000000000045,93,100,5.62,RU,1711994456
155,kargasok,59.0556,80.8572,-1.1299999999999957,71,100,5.81,RU,1711994456
156,cholpon-ata,42.6494,77.0823,1.0300000000000296,58,19,1.66,KG,1711994404
157,new norfolk,-42.7826,147.0587,15.510000000000048,98,100,0.47,AU,1711994457
158,aasiaat,68.7098,-52.8699,-0.2899999999999636,78,100,1.72,GL,1711994457
159,ilulissat,69.2167,-51.1,0.0100000000000477,64,75,0.51,GL,1711994457
160,kurmuk,10.55,34.2833,31.83000000000004,29,100,1.0,SD,1711994457
161,kyren,51.6828,102.1408,-1.1399999999999864,64,27,1.79,RU,1711994458
162,aykhal,66.0,111.5,-12.599999999999966,94,100,5.17,RU,1711994458
163,fuling,29.7022,107.3919,19.54000000000002,94,70,0.79,CN,1711994458
164,laichingen,48.4894,9.6861,7.620000000000003,82,100,5.31,DE,1711994458
165,kolonia town,6.964,158.206,28.160000000000025,79,88,8.87,FM,1711994459
166,ancud,-41.8697,-73.8203,13.08000000000004,56,4,0.73,CL,1711994459
167,port elizabeth,-33.918,25.5701,17.400000000000034,89,20,4.63,ZA,1711994459
168,palikir - national government center,6.9248,158.1611,27.57000000000005,79,88,8.87,FM,1711994396
169,gamay,12.3854,125.2979,25.02000000000004,90,53,3.58,PH,1711994459
170,ust-tsilma,65.441,52.1498,-5.21999999999997,89,100,2.68,RU,1711994460
171,shenjiamen,29.9576,122.298,13.160000000000023,99,100,7.65,CN,1711994460
172,kuching,1.55,110.3333,27.79000000000002,96,40,1.03,MY,1711994460
173,cadale,2.7603,46.3222,29.06,75,34,5.11,SO,1711994460
174,linxia chengguanzhen,35.6003,103.2064,8.390000000000043,46,100,1.36,CN,1711994460
175,hadibu,12.65,54.0333,27.430000000000007,73,32,3.9,YE,1711994461
176,tokar,18.4254,37.729,27.53000000000003,78,49,3.13,SD,1711994405
177,leh,34.1667,77.5833,-10.060000000000002,76,58,0.73,IN,1711994386
178,port alfred,-33.5906,26.891,17.32000000000005,98,100,1.79,ZA,1711994462
179,ust'-charyshskaya pristan',52.3934,83.6635,3.230000000000018,83,95,2.88,RU,1711994462
180,idritsa,56.3316,28.8988,14.460000000000036,74,40,2.3,RU,1711994462
181,enewetak,11.3474,162.3373,27.110000000000014,69,100,7.48,MH,1711994462
182,darovskoy,58.77,47.9564,3.670000000000016,98,100,4.67,RU,1711994463
183,estevan,49.1334,-102.9842,5.189999999999998,60,40,7.72,CA,1711994415
184,flin flon,54.7682,-101.865,-1.089999999999975,51,100,3.6,CA,1711994463
185,kuandian,40.7286,124.7847,4.760000000000048,69,100,0.74,CN,1711994463
186,dryden,49.7833,-92.7503,1.160000000000025,44,20,4.12,CA,1711994439
187,esquel,-42.9,-71.3167,13.200000000000044,36,69,2.5,AR,1711994464
188,volodarskiy,46.4013,48.5409,8.970000000000027,51,14,3.32,RU,1711994464
189,kapuskasing,49.4169,-82.4331,-2.9499999999999886,68,20,1.03,CA,1711994402
190,illizi,26.4833,8.4667,34.89000000000004,6,0,4.15,DZ,1711994464
191,sisimiut,66.9395,-53.6735,0.2100000000000363,74,100,3.48,GL,1711994464
192,safotu,-13.4513,-172.4018,29.010000000000048,84,49,10.26,WS,1711994465
193,paita,-5.0892,-81.1144,23.79000000000002,72,100,2.48,PE,1711994465
194,bilibino,68.0546,166.4372,-24.639999999999983,89,100,0.87,RU,1711994465
195,san patricio,28.017,-97.5169,28.08000000000004,61,100,9.78,US,1711994465
196,comodoro rivadavia,-45.8667,-67.5,17.920000000000016,29,0,7.72,AR,1711994368
197,san antonio de pale,-1.4014,5.6325,29.360000000000014,78,94,4.99,GQ,1711994442
198,fort st. john,56.2499,-120.8529,5.939999999999998,24,40,9.26,CA,1711994413
199,qaryat suluq,31.6682,20.2521,25.650000000000038,22,0,2.81,LY,1711994466
200,ko pha ngan,9.7578,100.0291,26.75,76,6,5.67,TH,1711994466
201,fale old settlement,-9.3852,-171.2468,29.81,73,14,5.73,TK,1711994467
202,flying fish cove,-10.4217,105.6791,25.82000000000005,88,40,2.57,CX,1711994467
203,san pedro pochutla,15.7333,-96.4667,32.670000000000016,42,0,4.78,MX,1711994414
204,haiku-pauwela,20.9219,-156.3051,22.360000000000014,82,69,2.24,US,1711994467
205,kishapu,-3.6167,33.8667,20.730000000000015,88,30,2.36,TZ,1711994467
206,saipan,15.1355,145.701,26.470000000000027,1,24,4.92,MP,1711994467
207,santa terezinha,-29.9002,-50.0904,25.610000000000014,73,53,4.89,BR,1711994468
208,antonio enes,-16.2325,39.9086,26.08000000000004,77,69,2.44,MZ,1711994468
209,tsengel,49.4783,100.8894,-2.039999999999964,63,14,3.53,MN,1711994468
210,valderice,38.0401,12.6151,15.550000000000011,94,20,8.23,IT,1711994468
211,nyala,12.05,24.8833,28.77000000000004,9,100,3.98,SD,1711994424
212,trincomalee,8.5711,81.2335,28.470000000000027,79,17,3.46,LK,1711994469
213,anna regina,7.2644,-58.5077,29.81,66,76,3.85,GY,1711994469
214,yuzhno-kurilsk,44.0306,145.8556,-2.009999999999991,97,78,2.37,RU,1711994469
215,vilyuysk,63.7553,121.6247,-19.99999999999997,100,88,0.89,RU,1711994469
216,tolanaro,-25.0319,46.9987,24.04000000000002,78,75,8.23,MG,1711994470
217,kone,-21.0595,164.8658,22.150000000000038,88,18,1.88,NC,1711994470
218,beroroha,-21.6667,45.1667,24.350000000000023,76,68,2.73,MG,1711994470
219,sovetskiy,61.3614,63.5842,-1.169999999999959,87,97,4.47,RU,1711994471
220,crane,31.3974,-102.3501,26.29000000000002,21,99,13.14,US,1711994471
221,whitehorse,60.7161,-135.0538,-0.5699999999999932,55,75,4.63,CA,1711994471
222,pauini,-7.7136,-66.9764,26.28000000000003,95,100,1.67,BR,1711994471
223,wesselsbron,-27.8549,26.3658,19.260000000000048,54,93,2.32,ZA,1711994472
224,kunduz,36.75,68.75,14.680000000000009,44,16,0.99,AF,1711994472
225,tegueste,28.5167,-16.3167,18.680000000000007,79,75,1.54,ES,1711994472
226,howrah,22.5892,88.3103,30.0,70,20,4.12,IN,1711994472
227,aurangabad,19.8833,75.3333,31.05000000000001,29,20,1.03,IN,1711994472
228,kudahuvadhoo,2.6708,72.8944,29.07000000000005,73,61,2.61,MV,1711994473
229,ciudad lazaro cardenas,17.9583,-102.2,28.760000000000048,56,11,4.13,MX,1711994473
230,alofi,-19.0595,-169.9187,26.94,83,20,5.14,NU,1711994473
231,iskateley,67.6803,53.1512,-9.42999999999995,87,100,4.92,RU,1711994473
232,qarauyl,48.9451,79.255,4.3700000000000045,63,29,1.78,KZ,1711994474
233,kas,36.2018,29.6377,21.360000000000014,57,1,2.52,TR,1711994474
234,axim,4.8699,-2.2405,29.200000000000045,74,100,2.97,GH,1711994474
235,al burayqah,30.4062,19.5739,24.660000000000025,40,0,3.64,LY,1711994474
236,banda aceh,5.5577,95.3222,27.56,80,45,1.4,ID,1711994475
237,mvurwi,-17.0333,30.85,18.100000000000023,64,79,1.91,ZW,1711994475
238,lundazi,-12.2929,33.1782,18.56,94,97,2.79,ZM,1711994475
239,mwene-ditu,-7.0,23.45,19.74000000000001,94,98,1.87,CD,1711994475
240,dowa,-13.654,33.9375,17.5,90,97,0.94,MW,1711994475
241,udachny,66.4167,112.4,-10.839999999999977,93,99,7.31,RU,1711994476
242,carrigaline,51.8117,-8.3986,11.860000000000014,76,40,4.12,IE,1711994476
243,castillos,-34.1667,-53.8333,14.110000000000014,93,100,3.92,UY,1711994476
244,verkhnyaya sinyachikha,57.976,61.6673,-0.5399999999999636,91,46,2.9,RU,1711994476
245,san jose del guaviare,2.5729,-72.6459,32.84000000000003,50,92,2.61,CO,1711994477
246,iguatemi,-23.6803,-54.5611,29.170000000000016,55,96,6.51,BR,1711994477
247,pakokku,21.3333,95.1,31.170000000000016,40,9,2.93,MM,1711994477
248,amarante do maranhao,-5.5667,-46.7422,29.680000000000007,73,93,0.71,BR,1711994478
249,badr hunayn,23.7829,38.7905,28.350000000000023,42,2,1.95,SA,1711994478
250,sola,-13.8833,167.55,27.100000000000023,77,59,3.15,VU,1711994478
251,la passe,45.5549,-0.8967,12.230000000000018,81,65,8.85,FR,1711994478
252,lycksele,64.5954,18.6735,-3.069999999999993,80,40,3.09,SE,1711994479
253,puquio,-14.7,-74.1333,17.310000000000002,62,75,5.13,PE,1711994479
254,hermiston,45.8404,-119.2895,16.78000000000003,51,0,3.09,US,1711994479
255,nizhneudinsk,54.9076,99.0276,-6.269999999999982,90,99,1.22,RU,1711994479
256,santa vitoria do palmar,-33.5189,-53.3681,15.52000000000004,96,100,5.07,BR,1711994480
257,alice springs,-23.7,133.8833,22.900000000000038,69,75,3.09,AU,1711994414
258,berdigestyakh,62.0989,126.6992,-24.21999999999997,100,92,0.6,RU,1711994480
259,lompoc,34.6391,-120.4579,19.24000000000001,68,0,1.79,US,1711994480
260,klyuchi,52.2667,79.1667,4.600000000000023,46,96,3.76,RU,1711994481
261,alesund,62.4723,6.1549,6.510000000000048,78,40,12.86,NO,1711994372
262,uglekamensk,43.2172,133.2303,-2.099999999999966,72,11,1.24,RU,1711994481
263,hawaiian paradise park,19.5933,-154.9731,23.28000000000003,91,13,0.45,US,1711994482
264,vila franca do campo,37.7167,-25.4333,18.27000000000004,99,33,7.8,PT,1711994482
265,najran,17.4924,44.1277,24.360000000000014,37,12,3.87,SA,1711994482
266,isla vista,34.4133,-119.861,18.58000000000004,76,0,3.09,US,1711994482
267,kiffa,16.6166,-11.4045,43.02000000000004,9,22,2.24,MR,1711994483
268,fuyang,32.9,115.8167,18.480000000000015,94,100,2.85,CN,1711994483
269,bandar-e genaveh,29.5791,50.517,22.150000000000038,67,0,0.94,IR,1711994483
270,shimabara,32.7833,130.3667,14.939999999999998,66,59,0.96,JP,1711994483
271,minas de marcona,-15.2119,-75.1103,23.25,56,18,5.99,PE,1711994484
272,vorgashor,67.5833,63.95,-21.18999999999997,100,86,1.33,RU,1711994484
273,langzhong,31.5504,105.9938,18.25,82,100,1.41,CN,1711994484
274,sesheke,-17.4759,24.2968,26.08000000000004,42,100,2.63,ZM,1711994484
275,whistler,50.1164,-122.9695,8.090000000000032,75,100,0.0,CA,1711994485
276,petropavlovsk-kamchatsky,53.0452,158.6483,-0.6699999999999591,55,75,3.0,RU,1711994485
277,tindouf,27.6711,-8.1474,29.25,16,0,8.23,DZ,1711994485
278,bejaia,36.7559,5.0843,17.600000000000023,59,20,2.57,DZ,1711994485
279,huarmey,-10.0681,-78.1522,23.670000000000016,79,100,3.52,PE,1711994485
280,canutama,-6.5339,-64.3831,26.0,92,100,1.07,BR,1711994486
281,port saint john's,-31.6229,29.5448,22.850000000000023,94,95,2.23,ZA,1711994486
282,saint-pierre,-21.3393,55.4781,24.82000000000005,94,75,7.72,RE,1711994486
283,undurkhaan,47.3194,110.6556,-4.519999999999982,74,9,1.76,MN,1711994486
284,arraial do cabo,-22.9661,-42.0278,27.980000000000015,69,40,3.6,BR,1711994487
285,tot'ma,59.9747,42.7642,7.140000000000043,98,100,5.13,RU,1711994487
286,mcalester,34.9334,-95.7697,24.05000000000001,69,75,6.69,US,1711994341
287,banjarmasin,-3.3244,114.591,26.08000000000004,95,100,0.58,ID,1711994424
